"Region code","Region","Age","Sex","Population"
"01","Piemonte","81","Total","37014"
"01","Piemonte","81","Males","15761"
"01","Piemonte","81","Females","21253"
"01","Piemonte","82","Total","36119"
"01","Piemonte","82","Males","14917"
"01","Piemonte","82","Females","21202"
"01","Piemonte","83","Total","32917"
"01","Piemonte","83","Males","13174"
"01","Piemonte","83","Females","19743"
"01","Piemonte","84","Total","29907"
"01","Piemonte","84","Males","11494"
"01","Piemonte","84","Females","18413"
"01","Piemonte","85","Total","27967"
"01","Piemonte","85","Males","10411"
"01","Piemonte","85","Females","17556"
"01","Piemonte","86","Total","25607"
"01","Piemonte","86","Males","9198"
"01","Piemonte","86","Females","16409"
"01","Piemonte","87","Total","24208"
"01","Piemonte","87","Males","8503"
"01","Piemonte","87","Females","15705"
"01","Piemonte","88","Total","20048"
"01","Piemonte","88","Males","6698"
"01","Piemonte","88","Females","13350"
"01","Piemonte","89","Total","16709"
"01","Piemonte","89","Males","5231"
"01","Piemonte","89","Females","11478"
"01","Piemonte","90","Total","14274"
"01","Piemonte","90","Males","4217"
"01","Piemonte","90","Females","10057"
"01","Piemonte","91","Total","11487"
"01","Piemonte","91","Males","3152"
"01","Piemonte","91","Females","8335"
"01","Piemonte","92","Total","9249"
"01","Piemonte","92","Males","2407"
"01","Piemonte","92","Females","6842"
"01","Piemonte","93","Total","7118"
"01","Piemonte","93","Males","1781"
"01","Piemonte","93","Females","5337"
"01","Piemonte","94","Total","5593"
"01","Piemonte","94","Males","1357"
"01","Piemonte","94","Females","4236"
"01","Piemonte","95","Total","4324"
"01","Piemonte","95","Males","886"
"01","Piemonte","95","Females","3438"
"01","Piemonte","96","Total","3177"
"01","Piemonte","96","Males","617"
"01","Piemonte","96","Females","2560"
"01","Piemonte","97","Total","2090"
"01","Piemonte","97","Males","406"
"01","Piemonte","97","Females","1684"
"01","Piemonte","98","Total","993"
"01","Piemonte","98","Males","154"
"01","Piemonte","98","Females","839"
"01","Piemonte","99","Total","511"
"01","Piemonte","99","Males","83"
"01","Piemonte","99","Females","428"
"01","Piemonte","100 and over","Total","1233"
"01","Piemonte","100 and over","Males","172"
"01","Piemonte","100 and over","Females","1061"
"02","Valle D'Aosta/Vallée D'Aoste","0","Total","899"
"02","Valle D'Aosta/Vallée D'Aoste","0","Males","478"
"02","Valle D'Aosta/Vallée D'Aoste","0","Females","421"
"02","Valle D'Aosta/Vallée D'Aoste","1","Total","963"
"02","Valle D'Aosta/Vallée D'Aoste","1","Males","508"
"02","Valle D'Aosta/Vallée D'Aoste","1","Females","455"
"02","Valle D'Aosta/Vallée D'Aoste","2","Total","982"
"02","Valle D'Aosta/Vallée D'Aoste","2","Males","506"
"02","Valle D'Aosta/Vallée D'Aoste","2","Females","476"
"02","Valle D'Aosta/Vallée D'Aoste","3","Total","1067"
"02","Valle D'Aosta/Vallée D'Aoste","3","Males","554"
"02","Valle D'Aosta/Vallée D'Aoste","3","Females","513"
"02","Valle D'Aosta/Vallée D'Aoste","4","Total","1044"
"02","Valle D'Aosta/Vallée D'Aoste","4","Males","515"
"02","Valle D'Aosta/Vallée D'Aoste","4","Females","529"
"02","Valle D'Aosta/Vallée D'Aoste","5","Total","1136"
"02","Valle D'Aosta/Vallée D'Aoste","5","Males","583"
"02","Valle D'Aosta/Vallée D'Aoste","5","Females","553"
"02","Valle D'Aosta/Vallée D'Aoste","6","Total","1192"
"02","Valle D'Aosta/Vallée D'Aoste","6","Males","612"
"02","Valle D'Aosta/Vallée D'Aoste","6","Females","580"
"02","Valle D'Aosta/Vallée D'Aoste","7","Total","1158"
"02","Valle D'Aosta/Vallée D'Aoste","7","Males","578"
"02","Valle D'Aosta/Vallée D'Aoste","7","Females","580"
"02","Valle D'Aosta/Vallée D'Aoste","8","Total","1243"
"02","Valle D'Aosta/Vallée D'Aoste","8","Males","643"
"02","Valle D'Aosta/Vallée D'Aoste","8","Females","600"
"02","Valle D'Aosta/Vallée D'Aoste","9","Total","1222"
"02","Valle D'Aosta/Vallée D'Aoste","9","Males","630"
"02","Valle D'Aosta/Vallée D'Aoste","9","Females","592"
"02","Valle D'Aosta/Vallée D'Aoste","10","Total","1218"
"02","Valle D'Aosta/Vallée D'Aoste","10","Males","632"
"02","Valle D'Aosta/Vallée D'Aoste","10","Females","586"
"02","Valle D'Aosta/Vallée D'Aoste","11","Total","1230"
"02","Valle D'Aosta/Vallée D'Aoste","11","Males","649"
"02","Valle D'Aosta/Vallée D'Aoste","11","Females","581"
"02","Valle D'Aosta/Vallée D'Aoste","12","Total","1152"
"02","Valle D'Aosta/Vallée D'Aoste","12","Males","587"
"02","Valle D'Aosta/Vallée D'Aoste","12","Females","565"
"02","Valle D'Aosta/Vallée D'Aoste","13","Total","1170"
"02","Valle D'Aosta/Vallée D'Aoste","13","Males","590"
"02","Valle D'Aosta/Vallée D'Aoste","13","Females","580"
"02","Valle D'Aosta/Vallée D'Aoste","14","Total","1189"
"02","Valle D'Aosta/Vallée D'Aoste","14","Males","599"
"02","Valle D'Aosta/Vallée D'Aoste","14","Females","590"
"02","Valle D'Aosta/Vallée D'Aoste","15","Total","1121"
"02","Valle D'Aosta/Vallée D'Aoste","15","Males","604"
"02","Valle D'Aosta/Vallée D'Aoste","15","Females","517"
"02","Valle D'Aosta/Vallée D'Aoste","16","Total","1174"
"02","Valle D'Aosta/Vallée D'Aoste","16","Males","618"
"02","Valle D'Aosta/Vallée D'Aoste","16","Females","556"
"02","Valle D'Aosta/Vallée D'Aoste","17","Total","1216"
"02","Valle D'Aosta/Vallée D'Aoste","17","Males","635"
"02","Valle D'Aosta/Vallée D'Aoste","17","Females","581"
"02","Valle D'Aosta/Vallée D'Aoste","18","Total","1204"
"02","Valle D'Aosta/Vallée D'Aoste","18","Males","627"
"02","Valle D'Aosta/Vallée D'Aoste","18","Females","577"
"02","Valle D'Aosta/Vallée D'Aoste","19","Total","1178"
