"Region code","Region","Age","Sex","Population"
"08","Emilia-Romagna","23","Total","39111"
"08","Emilia-Romagna","23","Males","20346"
"08","Emilia-Romagna","23","Females","18765"
"08","Emilia-Romagna","24","Total","39524"
"08","Emilia-Romagna","24","Males","20512"
"08","Emilia-Romagna","24","Females","19012"
"08","Emilia-Romagna","25","Total","41432"
"08","Emilia-Romagna","25","Males","21303"
"08","Emilia-Romagna","25","Females","20129"
"09","Toscana","15","Total","32312"
"09","Toscana","15","Males","16702"
"09","Toscana","15","Females","15610"
"09","Toscana","16","Total","32122"
"09","Toscana","16","Males","16524"
"09","Toscana","16","Females","15598"
"09","Toscana","17","Total","32522"
"09","Toscana","17","Males","16871"
"09","Toscana","17","Females","15651"
"09","Toscana","18","Total","31829"
"09","Toscana","18","Males","16823"
"09","Toscana","18","Females","15006"
"09","Toscana","19","Total","32798"
"09","Toscana","19","Males","17566"
"09","Toscana","19","Females","15232"
"09","Toscana","20","Total","32603"
"09","Toscana","20","Males","17282"
"09","Toscana","20","Females","15321"
"09","Toscana","21","Total","32397"
"09","Toscana","21","Males","17100"
"09","Toscana","21","Females","15297"
"09","Toscana","22","Total","32056"
"09","Toscana","22","Males","16868"
"09","Toscana","22","Females","15188"
"09","Toscana","23","Total","32347"
"09","Toscana","23","Males","16763"
"09","Toscana","23","Females","15584"
"09","Toscana","24","Total","32915"
"09","Toscana","24","Males","17138"
"09","Toscana","24","Females","15777"
"09","Toscana","25","Total","34668"
"09","Toscana","25","Males","17790"
"09","Toscana","25","Females","16878"
"10","Umbria","15","Total","7621"
"10","Umbria","15","Males","3870"
"10","Umbria","15","Females","3751"
"10","Umbria","16","Total","7528"
"10","Umbria","16","Males","3874"
"10","Umbria","16","Females","3654"
"10","Umbria","17","Total","7722"
"10","Umbria","17","Males","3926"
"10","Umbria","17","Females","3796"
"10","Umbria","18","Total","7657"
"10","Umbria","18","Males","4108"
"10","Umbria","18","Females","3549"
"10","Umbria","19","Total","7756"
"10","Umbria","19","Males","4153"
"10","Umbria","19","Females","3603"
"10","Umbria","20","Total","7760"
"10","Umbria","20","Males","4104"
"10","Umbria","20","Females","3656"
"10","Umbria","21","Total","7789"
"10","Umbria","21","Males","4107"
"10","Umbria","21","Females","3682"
"10","Umbria","22","Total","7860"
"10","Umbria","22","Males","4090"
"10","Umbria","22","Females","3770"
"10","Umbria","23","Total","7881"
"10","Umbria","23","Males","4093"
"10","Umbria","23","Females","3788"
"10","Umbria","24","Total","8088"
"10","Umbria","24","Males","4172"
"10","Umbria","24","Females","3916"
"10","Umbria","25","Total","8554"
"10","Umbria","25","Males","4431"
"10","Umbria","25","Females","4123"
"11","Marche","15","Total","13638"
"11","Marche","15","Males","7085"
"11","Marche","15","Females","6553"
"11","Marche","16","Total","13520"
"11","Marche","16","Males","6945"
"11","Marche","16","Females","6575"
"11","Marche","17","Total","14035"
"11","Marche","17","Males","7381"
"11","Marche","17","Females","6654"
"11","Marche","18","Total","13998"
"11","Marche","18","Males","7269"
"11","Marche","18","Females","6729"
"11","Marche","19","Total","14375"
