,Region code,Region,Population,TIPO_DATO_AVQ,Religious observation,Live_births,Miscarriages,Abortions,Total,Time,Age range_GENERAL,Gender,Females,Early leavers absolute value,Female Early Leavers
11,ITE4,Lazio,5774606,6_WEEK_RELIG,23.94968591796566,2.3724833978728253,0.1541938988277759,0.7671146466681853,3.2937919433687863,2017,18-24,Females,2988655,8.4,4.347431149415216
12,ITF1,Abruzzo,1306059,6_WEEK_RELIG,23.73552802744745,2.580311825669392,0.0926967145852961,0.5592195240555572,3.232228064310245,2017,18-24,Females,669327,7.7,3.946083523026142
13,ITF2,Molise,306564,6_WEEK_RELIG,29.35765451912162,2.2908366533864544,0.1245019920318725,0.6349601593625498,3.0502988047808763,2017,18-24,Females,155333,9.9,5.01623380436059
14,ITF3,Campania,5762889,6_WEEK_RELIG,30.22789437728195,3.3338063685089567,0.083508902158132,0.4737629220474418,3.8910781927145295,2017,18-24,Females,2954012,17.7,9.07288209090961
15,ITF4,Puglia,4000966,6_WEEK_RELIG,32.942044496254155,2.8004285843377383,0.180728335190819,0.771968174600784,3.753125094129341,2017,18-24,Females,2056346,13.6,6.989888341965415
16,ITF5,Basilicata,562968,6_WEEK_RELIG,29.13131829873101,1.927664238282509,0.1353877893108117,0.3997163303462059,2.462768357939527,2017,18-24,Females,286113,11.5,5.844558660527774
17,ITF6,Calabria,1924257,6_WEEK_RELIG,32.32416459963508,3.106329982130932,0.1389816435933072,0.4052127141129542,3.650524339837193,2017,18-24,Females,981187,10.4,5.303005159913671
18,ITG1,Sicilia,4942188,6_WEEK_RELIG,30.18905796380065,4.053409957511712,0.188269419326724,0.5294013509096851,4.771080727748121,2017,18-24,Females,2539317,17.4,8.940193250438874
19,ITG2,Sardegna,1631040,6_WEEK_RELIG,23.420639591916814,2.258308748661985,0.1044304623658721,0.6670495783620082,3.029788789389865,2017,18-24,Females,829671,15.6,7.93534652736904
20,ITC1,Piemonte,8657130,6_WEEK_RELIG,9.206284299762162,1.235494880546075,0.1238420282788883,0.3890784982935154,1.7484154071184788,2018,18-24,,4451082,11.5,5.912749721905527
21,ITC2,Valle d'Aosta / Vallée d'Aoste,251306,6_WEEK_RELIG,7.958425186824031,1.16580310880829,0.1214378238341968,0.2509715025906736,1.5382124352331603,2018,18-24,,128364,13.6,6.946711976634063
22,ITC3,Liguria,3065960,6_WEEK_RELIG,9.1977716604261,1.3114466804918656,0.0226363291176212,0.4366620907205654,1.7707451003300525,2018,18-24,,1598874,12.6,6.570800793226264
23,ITC4,Lombardia,20021666,6_WEEK_RELIG,11.842171375748652,1.2565525127024133,0.0772008793049303,0.3264177986778217,1.6601711906851653,2018,18-24,,10217264,9.9,5.052072769568727
24,ITD3,Veneto,9769180,6_WEEK_RELIG,11.82289608749148,1.1747187293183323,0.1706994237381156,0.2306258171780923,1.57604397023454,2018,18-24,,4987384,10.6,5.411536116644386
25,ITD4,Friuli-Venezia Giulia,2420828,6_WEEK_RELIG,9.79003878011986,1.1923932907521668,0.2153183635804368,0.2922177791448785,1.699929433477482,2018,18-24,,1243502,6.9,3.544309550286101
26,ITD5,Emilia-Romagna,8918906,6_WEEK_RELIG,9.373346910484312,1.3786019094980488,0.1701651730212598,0.381851608288892,1.9306186908082008,2018,18-24,,4579612,9.1,4.672598769400642
27,ITDA,Trentino Alto Adige / Südtirol,2148068,6_WEEK_RELIG,11.079723733140664,1.3829839222010458,0.1653390672596067,0.2508592744628516,1.7991822639235042,2018,18-24,,1089510,8.0,4.057636909073642
28,ITE1,Toscana,7402686,6_WEEK_RELIG,8.888665546532705,1.2165279602861732,0.1752080595707402,0.3673528982333187,1.759088918090232,2018,18-24,,3826624,9.8,5.065852475709493
29,ITE2,Umbria,1747488,6_WEEK_RELIG,10.1288249189694,1.227517875881592,0.1098177026136613,0.3099299607096664,1.6472655392049198,2018,18-24,,904586,7.1,3.6753102739475176
30,ITE3,Marche,3040642,6_WEEK_RELIG,13.582657872909737,0.2869642279396249,0.0457173402354794,0.0689276822011844,0.4016092503762888,2018,18-24,,1562466,6.8,3.494251806033068
31,ITE4,Lazio,11546152,6_WEEK_RELIG,11.518989183582548,1.1038979307628465,0.2053763592116924,0.3622220034041835,1.6714962933787223,2018,18-24,,5971072,8.5,4.3957599033859935
32,ITF1,Abruzzo,2601290,6_WEEK_RELIG,12.532243617589735,1.1951944513252415,0.1788147138964577,0.2569977706217488,1.631006935843448,2018,18-24,,1331168,6.9,3.530963175962696
33,ITF2,Molise,607580,6_WEEK_RELIG,13.166990355179564,0.9154929577464788,0.147247119078105,0.2848911651728553,1.3476312419974392,2018,18-24,,308058,8.0,4.056196714835907
34,ITF3,Campania,11480582,6_WEEK_RELIG,14.311121160930693,1.55175047563499,0.0052771181380105,0.2262217222847144,1.783249316057715,2018,18-24,,5881466,18.7,9.579951103524197
35,ITF4,Puglia,7951056,6_WEEK_RELIG,14.828219044111876,1.352222636461326,0.2263207526480843,0.3600956161319327,1.938639005241343,2018,18-24,,4082368,13.0,6.674683714968175
36,ITF5,Basilicata,1117174,6_WEEK_RELIG,13.516247245281397,0.9804246298565796,0.1805173727269716,0.1755490046702659,1.3364910072538174,2018,18-24,,567780,8.0,4.065830389894502
37,ITF6,Calabria,3824042,6_WEEK_RELIG,15.664053898989604,1.394291018797865,0.2093293107449524,0.2000464144813181,1.803666744024136,2018,18-24,,1948176,14.7,7.488983436897397
