,Region code,Region,Population,TIPO_DATO_AVQ,Religious observation,Live_births,Miscarriages,Abortions,Total,Time,Age range_GENERAL,Gender,Population_FEMALE,Early leavers absolute value,Female Early Leavers
43,ITC4,Lombardia,20055204,6_WEEK_RELIG,12.93429874859413,1.3391560969983336,0.0595600313411049,0.3361810784044673,1.7348972067439057,2019,18-24,Females,20055204,10.1,10.1
44,ITD3,Veneto,9758266,6_WEEK_RELIG,11.569678465415883,1.1931095115557393,0.0576080803863555,0.2240091209448528,1.4747267128869477,2019,18-24,Females,9758266,7.6,7.6
45,ITD4,Friuli-Venezia Giulia,2412432,6_WEEK_RELIG,9.077976083885472,1.201088318476354,0.0671249060251315,0.3069845702216017,1.5751977947230873,2019,18-24,Females,2412432,7.4,7.4
46,ITD5,Emilia-Romagna,8928238,6_WEEK_RELIG,8.926733359930592,1.4232922149511926,0.0553607676693116,0.3889448805484974,1.8675978631690016,2019,18-24,Females,8928238,8.5,8.5
47,ITDA,Trentino Alto Adige / Südtirol,2156138,6_WEEK_RELIG,10.203428537505484,1.439035457315097,0.0405133856226097,0.2641472742594153,1.743696117197122,2019,18-24,Females,2156138,7.8,7.799999999999999
48,ITE1,Toscana,7385110,6_WEEK_RELIG,8.151537350154568,1.2709215917772068,0.0639512003148366,0.3790772507350047,1.7139500428270482,2019,18-24,Females,7385110,8.2,8.2
49,ITE2,Umbria,1740330,6_WEEK_RELIG,9.65334160762614,1.286549707602339,0.0499512670565302,0.3350389863547758,1.6715399610136452,2019,18-24,Females,1740330,8.4,8.4
50,ITE3,Marche,3025344,6_WEEK_RELIG,13.453015590954283,1.2480056248140836,0.0649017009654128,0.2589307444765948,1.5718380702560912,2019,18-24,Females,3025344,5.6,5.6
51,ITE4,Lazio,11511400,6_WEEK_RELIG,10.007470854978544,1.192174265236762,0.0774825224082976,0.3854755489812809,1.6551323366263406,2019,18-24,Females,11511400,10.2,10.2
52,ITF1,Abruzzo,2587882,6_WEEK_RELIG,11.09015016913445,1.3318691662091144,0.0478468899521531,0.2886500902031532,1.6683661463644208,2019,18-24,Females,2587882,4.2,4.2
53,ITF2,Molise,601032,6_WEEK_RELIG,13.809580854264,1.2140406439693852,0.0659804697809448,0.3365003958828186,1.616521509633149,2019,18-24,Females,601032,7.0,7.0
54,ITF3,Campania,11424286,6_WEEK_RELIG,15.773414636153191,1.7208833191522932,0.0431066057351507,0.2445525083536657,2.008542433241109,2019,18-24,Females,11424286,15.7,15.7
55,ITF4,Puglia,7906610,6_WEEK_RELIG,14.924221632279826,1.4466722980482818,0.0933623794069266,0.3987907348953007,1.938825412350509,2019,18-24,Females,7906610,14.4,14.4
56,ITF5,Basilicata,1106508,6_WEEK_RELIG,13.19466284925188,1.00670011110737,0.0707046900777751,0.2087471802296219,1.2861519814147673,2019,18-24,Females,1106508,8.6,8.6
57,ITF6,Calabria,3788220,6_WEEK_RELIG,15.521801796094207,1.6378932942497668,0.0732816871918838,0.2136589451243885,1.9248339265660392,2019,18-24,Females,3788220,16.6,16.6
58,ITG1,Sicilia,9750580,6_WEEK_RELIG,15.363188651341764,2.1166598517306974,0.0983128588952692,0.2764493590997173,2.491422069725684,2019,18-24,Females,9750580,20.1,20.1
59,ITG2,Sardegna,3223242,6_WEEK_RELIG,10.734533739632331,1.1719120456300551,0.054192464537806,0.3461543672352359,1.572258877403097,2019,18-24,Females,3223242,13.1,13.099999999999998
