RESIDENCE_TERR,CITIZENSHIP_MOTHER,MOTHER_AGE,OBS_VALUE
ITF6,TOTAL,Y_UN17,48
ITF6,TOTAL,Y18,68
ITF6,TOTAL,Y19,106
ITF6,TOTAL,Y20,131
ITF6,TOTAL,Y21,210
ITF6,TOTAL,Y22,232
ITF6,TOTAL,Y23,321
ITF6,TOTAL,Y24,386
ITF6,TOTAL,Y25,558
ITG1,FRG,Y_UN17,26
ITG1,FRG,Y18,27
ITG1,FRG,Y19,53
ITG1,FRG,Y20,75
ITG1,FRG,Y21,79
ITG1,FRG,Y22,126
ITG1,FRG,Y23,117
ITG1,FRG,Y24,153
ITG1,FRG,Y25,167
ITG1,ITL,Y_UN17,288
ITG1,ITL,Y18,258
ITG1,ITL,Y19,448
ITG1,ITL,Y20,551
ITG1,ITL,Y21,615
ITG1,ITL,Y22,805
ITG1,ITL,Y23,876
ITG1,ITL,Y24,1103
ITG1,ITL,Y25,1335
ITG1,TOTAL,Y_UN17,314
ITG1,TOTAL,Y18,285
ITG1,TOTAL,Y19,501
ITG1,TOTAL,Y20,626
ITG1,TOTAL,Y21,694
ITG1,TOTAL,Y22,931
ITG1,TOTAL,Y23,993
ITG1,TOTAL,Y24,1256
ITG1,TOTAL,Y25,1502
ITG2,FRG,Y_UN17,2
ITG2,FRG,Y18,4
ITG2,FRG,Y19,7
ITG2,FRG,Y20,12
ITG2,FRG,Y21,11
ITG2,FRG,Y22,23
ITG2,FRG,Y23,29
ITG2,FRG,Y24,35
ITG2,FRG,Y25,32
ITG2,ITL,Y_UN17,31
ITG2,ITL,Y18,20
ITG2,ITL,Y19,60
ITG2,ITL,Y20,68
ITG2,ITL,Y21,107
ITG2,ITL,Y22,116
ITG2,ITL,Y23,126
ITG2,ITL,Y24,153
ITG2,ITL,Y25,207
ITG2,TOTAL,Y_UN17,33
ITG2,TOTAL,Y18,24
ITG2,TOTAL,Y19,67
ITG2,TOTAL,Y20,80
ITG2,TOTAL,Y21,118
ITG2,TOTAL,Y22,139
ITG2,TOTAL,Y23,155
ITG2,TOTAL,Y24,188
ITG2,TOTAL,Y25,239
