ITTER107,Region,Age,Males_value,Females_value,Population_value
ITC2,Valle d'Aosta / Vallée d'Aoste,69,755,834,1589
ITC2,Valle d'Aosta / Vallée d'Aoste,70,764,842,1606
ITC2,Valle d'Aosta / Vallée d'Aoste,71,759,747,1506
ITC2,Valle d'Aosta / Vallée d'Aoste,72,694,747,1441
ITC2,Valle d'Aosta / Vallée d'Aoste,73,501,603,1104
ITC2,Valle d'Aosta / Vallée d'Aoste,74,582,590,1172
ITC2,Valle d'Aosta / Vallée d'Aoste,75,602,632,1234
ITC2,Valle d'Aosta / Vallée d'Aoste,76,577,642,1219
ITC2,Valle d'Aosta / Vallée d'Aoste,77,546,676,1222
ITC2,Valle d'Aosta / Vallée d'Aoste,78,562,698,1260
ITC2,Valle d'Aosta / Vallée d'Aoste,79,516,654,1170
ITC2,Valle d'Aosta / Vallée d'Aoste,80,509,665,1174
ITC2,Valle d'Aosta / Vallée d'Aoste,81,414,591,1005
ITC2,Valle d'Aosta / Vallée d'Aoste,82,363,530,893
ITC2,Valle d'Aosta / Vallée d'Aoste,83,330,492,822
ITC2,Valle d'Aosta / Vallée d'Aoste,84,270,467,737
ITC2,Valle d'Aosta / Vallée d'Aoste,85,267,470,737
ITC2,Valle d'Aosta / Vallée d'Aoste,86,222,408,630
ITC2,Valle d'Aosta / Vallée d'Aoste,87,209,385,594
ITC2,Valle d'Aosta / Vallée d'Aoste,88,191,392,583
ITC2,Valle d'Aosta / Vallée d'Aoste,89,152,303,455
ITC2,Valle d'Aosta / Vallée d'Aoste,90,121,275,396
ITC2,Valle d'Aosta / Vallée d'Aoste,91,78,237,315
ITC2,Valle d'Aosta / Vallée d'Aoste,92,63,195,258
ITC2,Valle d'Aosta / Vallée d'Aoste,93,60,143,203
ITC2,Valle d'Aosta / Vallée d'Aoste,94,28,103,131
ITC2,Valle d'Aosta / Vallée d'Aoste,95,22,92,114
ITC2,Valle d'Aosta / Vallée d'Aoste,96,15,79,94
ITC2,Valle d'Aosta / Vallée d'Aoste,97,11,64,75
ITC2,Valle d'Aosta / Vallée d'Aoste,98,6,33,39
ITC2,Valle d'Aosta / Vallée d'Aoste,99,4,15,19
ITC2,Valle d'Aosta / Vallée d'Aoste,100 and over,4,21,25
ITC2,Valle d'Aosta / Vallée d'Aoste,Total,61471,64182,125653
ITC3,Liguria,0,4531,4277,8808
ITC3,Liguria,1,4959,4633,9592
ITC3,Liguria,2,5144,4737,9881
ITC3,Liguria,3,5184,4958,10142
ITC3,Liguria,4,5605,5202,10807
ITC3,Liguria,5,5681,5263,10944
ITC3,Liguria,6,5920,5631,11551
ITC3,Liguria,7,5841,5535,11376
ITC3,Liguria,8,6049,5820,11869
ITC3,Liguria,9,6246,6184,12430
ITC3,Liguria,10,6446,6224,12670
ITC3,Liguria,11,6514,5903,12417
ITC3,Liguria,12,6417,6169,12586
ITC3,Liguria,13,6495,6019,12514
ITC3,Liguria,14,6437,6150,12587
ITC3,Liguria,15,6413,5948,12361
ITC3,Liguria,16,6540,6116,12656
ITC3,Liguria,17,6532,6242,12774
ITC3,Liguria,18,6845,6239,13084
ITC3,Liguria,19,6970,6063,13033
ITC3,Liguria,20,7119,6184,13303
ITC3,Liguria,21,7007,6259,13266
ITC3,Liguria,22,7278,6239,13517
ITC3,Liguria,23,6921,6269,13190
ITC3,Liguria,24,6877,6372,13249
ITC3,Liguria,25,7036,6543,13579
ITC3,Liguria,26,7445,6794,14239
ITC3,Liguria,27,7157,6887,14044
ITC3,Liguria,28,7208,6928,14136
ITC3,Liguria,29,7164,6954,14118
ITC3,Liguria,30,7362,7137,14499
ITC3,Liguria,31,7331,6833,14164
ITC3,Liguria,32,7188,6841,14029
ITC3,Liguria,33,7428,7175,14603
ITC3,Liguria,34,7433,7182,14615
ITC3,Liguria,35,7632,7297,14929
ITC3,Liguria,36,7640,7302,14942
ITC3,Liguria,37,7820,7796,15616
ITC3,Liguria,38,7727,7697,15424
ITC3,Liguria,39,7946,8269,16215
ITC3,Liguria,40,8525,8984,17509
ITC3,Liguria,41,9139,9424,18563
ITC3,Liguria,42,9793,9943,19736
ITC3,Liguria,43,10443,10660,21103
ITC3,Liguria,44,11056,11508,22564
ITC3,Liguria,45,11404,11562,22966
ITC3,Liguria,46,12014,12208,24222
ITC3,Liguria,47,12105,12301,24406
ITC3,Liguria,48,12032,12591,24623
ITC3,Liguria,49,12376,12801,25177
ITC3,Liguria,50,12608,12866,25474
ITC3,Liguria,51,12244,13042,25286
ITC3,Liguria,52,12929,13433,26362
ITC3,Liguria,53,13155,13664,26819
ITC3,Liguria,54,13373,13700,27073
ITC3,Liguria,55,12353,13090,25443
ITC3,Liguria,56,11863,12626,24489
ITC3,Liguria,57,11479,12232,23711
ITC3,Liguria,58,11109,11778,22887
ITC3,Liguria,59,10987,11707,22694
ITC3,Liguria,60,10410,11280,21690
ITC3,Liguria,61,10414,11020,21434
ITC3,Liguria,62,10068,10795,20863
ITC3,Liguria,63,9625,10544,20169
ITC3,Liguria,64,9640,10471,20111
ITC3,Liguria,65,9228,10236,19464
ITC3,Liguria,66,8930,9877,18807
ITC3,Liguria,67,8776,10003,18779
ITC3,Liguria,68,9474,10514,19988
ITC3,Liguria,69,9334,10875,20209
ITC3,Liguria,70,9937,11349,21286
ITC3,Liguria,71,10034,11765,21799
ITC3,Liguria,72,9947,11907,21854
ITC3,Liguria,73,7183,8562,15745
ITC3,Liguria,74,7981,9696,17677
ITC3,Liguria,75,7672,9414,17086
ITC3,Liguria,76,7632,9827,17459
ITC3,Liguria,77,7781,10014,17795
ITC3,Liguria,78,8209,10719,18928
ITC3,Liguria,79,7824,10494,18318
ITC3,Liguria,80,7402,10224,17626
ITC3,Liguria,81,6569,9346,15915
ITC3,Liguria,82,5760,8561,14321
ITC3,Liguria,83,5413,8271,13684
ITC3,Liguria,84,4860,7630,12490
ITC3,Liguria,85,4411,7225,11636
ITC3,Liguria,86,3873,6987,10860
ITC3,Liguria,87,3450,6472,9922
ITC3,Liguria,88,3121,6209,9330
ITC3,Liguria,89,2480,5277,7757
ITC3,Liguria,90,2018,4496,6514
ITC3,Liguria,91,1609,3788,5397
ITC3,Liguria,92,1163,3189,4352
ITC3,Liguria,93,905,2607,3512
ITC3,Liguria,94,659,2062,2721
ITC3,Liguria,95,457,1647,2104
ITC3,Liguria,96,335,1266,1601
