RESIDENCE_TERR,CITIZENSHIP_MOTHER,MOTHER_AGE,OBS_VALUE
ITC3,ITL,Y22,72
ITC3,ITL,Y23,64
ITC3,ITL,Y24,89
ITC3,ITL,Y25,123
ITC3,TOTAL,Y_UN17,11
ITC3,TOTAL,Y18,37
ITC3,TOTAL,Y19,46
ITC3,TOTAL,Y20,78
ITC3,TOTAL,Y21,108
ITC3,TOTAL,Y22,154
ITC3,TOTAL,Y23,168
ITC3,TOTAL,Y24,198
ITC3,TOTAL,Y25,268
ITC4,FRG,Y_UN17,45
ITC4,FRG,Y18,83
ITC4,FRG,Y19,184
ITC4,FRG,Y20,356
ITC4,FRG,Y21,466
ITC4,FRG,Y22,624
ITC4,FRG,Y23,734
ITC4,FRG,Y24,934
ITC4,FRG,Y25,1109
ITC4,ITL,Y_UN17,68
ITC4,ITL,Y18,99
ITC4,ITL,Y19,186
ITC4,ITL,Y20,242
ITC4,ITL,Y21,329
ITC4,ITL,Y22,439
ITC4,ITL,Y23,534
ITC4,ITL,Y24,727
ITC4,ITL,Y25,940
ITC4,TOTAL,Y_UN17,113
ITC4,TOTAL,Y18,182
ITC4,TOTAL,Y19,370
ITC4,TOTAL,Y20,598
ITC4,TOTAL,Y21,795
ITC4,TOTAL,Y22,1063
ITC4,TOTAL,Y23,1268
ITC4,TOTAL,Y24,1661
ITC4,TOTAL,Y25,2049
ITD1,FRG,Y_UN17,1
ITD1,FRG,Y18,1
ITD1,FRG,Y19,9
ITD1,FRG,Y20,18
ITD1,FRG,Y21,29
ITD1,FRG,Y22,34
ITD1,FRG,Y23,49
ITD1,FRG,Y24,57
ITD1,FRG,Y25,51
ITD1,ITL,Y_UN17,8
ITD1,ITL,Y18,7
ITD1,ITL,Y19,16
ITD1,ITL,Y20,33
ITD1,ITL,Y21,36
ITD1,ITL,Y22,53
ITD1,ITL,Y23,74
ITD1,ITL,Y24,83
ITD1,ITL,Y25,148
ITD1,TOTAL,Y_UN17,9
ITD1,TOTAL,Y18,8
ITD1,TOTAL,Y19,25
ITD1,TOTAL,Y20,51
ITD1,TOTAL,Y21,65
ITD1,TOTAL,Y22,87
ITD1,TOTAL,Y23,123
ITD1,TOTAL,Y24,140
ITD1,TOTAL,Y25,199
ITD2,FRG,Y_UN17,0
ITD2,FRG,Y18,2
ITD2,FRG,Y19,9
ITD2,FRG,Y20,18
ITD2,FRG,Y21,28
ITD2,FRG,Y22,29
ITD2,FRG,Y23,40
ITD2,FRG,Y24,38
ITD2,FRG,Y25,48
ITD2,ITL,Y_UN17,4
ITD2,ITL,Y18,2
ITD2,ITL,Y19,8
ITD2,ITL,Y20,8
ITD2,ITL,Y21,17
ITD2,ITL,Y22,24
ITD2,ITL,Y23,33
ITD2,ITL,Y24,53
ITD2,ITL,Y25,70
ITD2,TOTAL,Y_UN17,4
ITD2,TOTAL,Y18,4
ITD2,TOTAL,Y19,17
ITD2,TOTAL,Y20,26
ITD2,TOTAL,Y21,45
ITD2,TOTAL,Y22,53
ITD2,TOTAL,Y23,73
ITD2,TOTAL,Y24,91
ITD2,TOTAL,Y25,118
ITD3,FRG,Y_UN17,12
ITD3,FRG,Y18,24
ITD3,FRG,Y19,75
ITD3,FRG,Y20,126
ITD3,FRG,Y21,216
ITD3,FRG,Y22,266
ITD3,FRG,Y23,341
ITD3,FRG,Y24,421
ITD3,FRG,Y25,438
ITD3,ITL,Y_UN17,20
ITD3,ITL,Y18,41
ITD3,ITL,Y19,79
ITD3,ITL,Y20,104
ITD3,ITL,Y21,147
ITD3,ITL,Y22,191
ITD3,ITL,Y23,251
ITD3,ITL,Y24,336
ITD3,ITL,Y25,467
ITD3,TOTAL,Y_UN17,32
ITD3,TOTAL,Y18,65
ITD3,TOTAL,Y19,154
ITD3,TOTAL,Y20,230
ITD3,TOTAL,Y21,363
ITD3,TOTAL,Y22,457
ITD3,TOTAL,Y23,592
ITD3,TOTAL,Y24,757
ITD3,TOTAL,Y25,905
ITD4,FRG,Y_UN17,2
ITD4,FRG,Y18,6
ITD4,FRG,Y19,17
ITD4,FRG,Y20,25
ITD4,FRG,Y21,49
ITD4,FRG,Y22,58
ITD4,FRG,Y23,76
ITD4,FRG,Y24,91
ITD4,FRG,Y25,102
ITD4,ITL,Y_UN17,2
ITD4,ITL,Y18,9
ITD4,ITL,Y19,22
ITD4,ITL,Y20,33
ITD4,ITL,Y21,30
ITD4,ITL,Y22,51
ITD4,ITL,Y23,60
ITD4,ITL,Y24,81
ITD4,ITL,Y25,117
ITD4,TOTAL,Y_UN17,4
ITD4,TOTAL,Y18,15
ITD4,TOTAL,Y19,39
ITD4,TOTAL,Y20,58
ITD4,TOTAL,Y21,79
ITD4,TOTAL,Y22,109
ITD4,TOTAL,Y23,136
ITD4,TOTAL,Y24,172
ITD4,TOTAL,Y25,219
ITD5,FRG,Y_UN17,19
ITD5,FRG,Y18,28
ITD5,FRG,Y19,89
ITD5,FRG,Y20,143
ITD5,FRG,Y21,193
ITD5,FRG,Y22,318
ITD5,FRG,Y23,366
ITD5,FRG,Y24,427
ITD5,FRG,Y25,491
ITD5,ITL,Y_UN17,26
ITD5,ITL,Y18,36
ITD5,ITL,Y19,51
ITD5,ITL,Y20,91
ITD5,ITL,Y21,135
ITD5,ITL,Y22,174
ITD5,ITL,Y23,254
ITD5,ITL,Y24,298
ITD5,ITL,Y25,432
ITD5,TOTAL,Y_UN17,45
ITD5,TOTAL,Y18,64
ITD5,TOTAL,Y19,140
ITD5,TOTAL,Y20,234
ITD5,TOTAL,Y21,328
ITD5,TOTAL,Y22,492
ITD5,TOTAL,Y23,620
ITD5,TOTAL,Y24,725
ITD5,TOTAL,Y25,923
ITDA,FRG,Y_UN17,1
ITDA,FRG,Y18,3
ITDA,FRG,Y19,18
ITDA,FRG,Y20,36
ITDA,FRG,Y21,57
ITDA,FRG,Y22,63
ITDA,FRG,Y23,89
ITDA,FRG,Y24,95
ITDA,FRG,Y25,99
ITDA,ITL,Y_UN17,12
ITDA,ITL,Y18,9
ITDA,ITL,Y19,24
ITDA,ITL,Y20,41
ITDA,ITL,Y21,53
ITDA,ITL,Y22,77
ITDA,ITL,Y23,107
ITDA,ITL,Y24,136
ITDA,ITL,Y25,218
ITDA,TOTAL,Y_UN17,13
ITDA,TOTAL,Y18,12
ITDA,TOTAL,Y19,42
ITDA,TOTAL,Y20,77
ITDA,TOTAL,Y21,110
ITDA,TOTAL,Y22,140
ITDA,TOTAL,Y23,196
ITDA,TOTAL,Y24,231
ITDA,TOTAL,Y25,317
ITE1,FRG,Y_UN17,18
ITE1,FRG,Y18,14
ITE1,FRG,Y19,61
ITE1,FRG,Y20,105
ITE1,FRG,Y21,162
ITE1,FRG,Y22,203
ITE1,FRG,Y23,267
ITE1,FRG,Y24,267
ITE1,FRG,Y25,308
ITE1,ITL,Y_UN17,17
ITE1,ITL,Y18,23
ITE1,ITL,Y19,46
ITE1,ITL,Y20,70
ITE1,ITL,Y21,104
ITE1,ITL,Y22,134
ITE1,ITL,Y23,164
ITE1,ITL,Y24,226
ITE1,ITL,Y25,280
ITE1,TOTAL,Y_UN17,35
ITE1,TOTAL,Y18,37
ITE1,TOTAL,Y19,107
ITE1,TOTAL,Y20,175
ITE1,TOTAL,Y21,266
ITE1,TOTAL,Y22,337
ITE1,TOTAL,Y23,431
ITE1,TOTAL,Y24,493
ITE1,TOTAL,Y25,588
ITE2,FRG,Y_UN17,1
ITE2,FRG,Y18,8
ITE2,FRG,Y19,16
ITE2,FRG,Y20,21
ITE2,FRG,Y21,31
ITE2,FRG,Y22,51
ITE2,FRG,Y23,48
ITE2,FRG,Y24,47
ITE2,FRG,Y25,55
ITE2,ITL,Y_UN17,8
ITE2,ITL,Y18,2
ITE2,ITL,Y19,16
ITE2,ITL,Y20,33
ITE2,ITL,Y21,21
ITE2,ITL,Y22,42
ITE2,ITL,Y23,46
ITE2,ITL,Y24,63
ITE2,ITL,Y25,87
ITE2,TOTAL,Y_UN17,9
ITE2,TOTAL,Y18,10
ITE2,TOTAL,Y19,32
ITE2,TOTAL,Y20,54
ITE2,TOTAL,Y21,52
ITE2,TOTAL,Y22,93
ITE2,TOTAL,Y23,94
ITE2,TOTAL,Y24,110
ITE2,TOTAL,Y25,142
ITE3,FRG,Y_UN17,3
ITE3,FRG,Y18,8
ITE3,FRG,Y19,21
ITE3,FRG,Y20,40
ITE3,FRG,Y21,52
ITE3,FRG,Y22,72
ITE3,FRG,Y23,81
ITE3,FRG,Y24,91
ITE3,FRG,Y25,130
ITE3,ITL,Y_UN17,12
ITE3,ITL,Y18,11
ITE3,ITL,Y19,18
ITE3,ITL,Y20,26
ITE3,ITL,Y21,56
ITE3,ITL,Y22,66
ITE3,ITL,Y23,76
ITE3,ITL,Y24,119
ITE3,ITL,Y25,129
ITE3,TOTAL,Y_UN17,15
ITE3,TOTAL,Y18,19
ITE3,TOTAL,Y19,39
ITE3,TOTAL,Y20,66
ITE3,TOTAL,Y21,108
ITE3,TOTAL,Y22,138
ITE3,TOTAL,Y23,157
ITE3,TOTAL,Y24,210
ITE3,TOTAL,Y25,259
ITE4,FRG,Y_UN17,28
ITE4,FRG,Y18,36
ITE4,FRG,Y19,64
ITE4,FRG,Y20,99
ITE4,FRG,Y21,163
ITE4,FRG,Y22,241
ITE4,FRG,Y23,250
ITE4,FRG,Y24,317
ITE4,FRG,Y25,419
ITE4,ITL,Y_UN17,42
ITE4,ITL,Y18,55
ITE4,ITL,Y19,102
ITE4,ITL,Y20,170
ITE4,ITL,Y21,202
ITE4,ITL,Y22,266
ITE4,ITL,Y23,400
ITE4,ITL,Y24,500
ITE4,ITL,Y25,596
ITE4,TOTAL,Y_UN17,70
ITE4,TOTAL,Y18,91
ITE4,TOTAL,Y19,166
ITE4,TOTAL,Y20,269
ITE4,TOTAL,Y21,365
ITE4,TOTAL,Y22,507
ITE4,TOTAL,Y23,650
ITE4,TOTAL,Y24,817
ITE4,TOTAL,Y25,1015
ITF1,FRG,Y_UN17,2
ITF1,FRG,Y18,3
ITF1,FRG,Y19,18
ITF1,FRG,Y20,38
ITF1,FRG,Y21,30
ITF1,FRG,Y22,39
ITF1,FRG,Y23,56
ITF1,FRG,Y24,58
ITF1,FRG,Y25,67
ITF1,ITL,Y_UN17,6
ITF1,ITL,Y18,22
ITF1,ITL,Y19,23
ITF1,ITL,Y20,44
ITF1,ITL,Y21,60
ITF1,ITL,Y22,68
ITF1,ITL,Y23,106
ITF1,ITL,Y24,121
ITF1,ITL,Y25,161
ITF1,TOTAL,Y_UN17,8
ITF1,TOTAL,Y18,25
ITF1,TOTAL,Y19,41
ITF1,TOTAL,Y20,82
ITF1,TOTAL,Y21,90
ITF1,TOTAL,Y22,107
ITF1,TOTAL,Y23,162
ITF1,TOTAL,Y24,179
ITF1,TOTAL,Y25,228
ITF2,FRG,Y_UN17,1
ITF2,FRG,Y18,0
ITF2,FRG,Y19,5
ITF2,FRG,Y20,4
ITF2,FRG,Y21,6
ITF2,FRG,Y22,9
ITF2,FRG,Y23,15
ITF2,FRG,Y24,9
ITF2,FRG,Y25,12
ITF2,ITL,Y_UN17,4
ITF2,ITL,Y18,2
ITF2,ITL,Y19,8
ITF2,ITL,Y20,14
ITF2,ITL,Y21,14
ITF2,ITL,Y22,18
ITF2,ITL,Y23,27
ITF2,ITL,Y24,27
ITF2,ITL,Y25,33
ITF2,TOTAL,Y_UN17,5
ITF2,TOTAL,Y18,2
ITF2,TOTAL,Y19,13
ITF2,TOTAL,Y20,18
ITF2,TOTAL,Y21,20
ITF2,TOTAL,Y22,27
ITF2,TOTAL,Y23,42
ITF2,TOTAL,Y24,36
ITF2,TOTAL,Y25,45
ITF3,FRG,Y_UN17,28
ITF3,FRG,Y18,22
ITF3,FRG,Y19,38
ITF3,FRG,Y20,62
ITF3,FRG,Y21,90
ITF3,FRG,Y22,100
ITF3,FRG,Y23,116
ITF3,FRG,Y24,143
ITF3,FRG,Y25,158
ITF3,ITL,Y_UN17,198
ITF3,ITL,Y18,212
ITF3,ITL,Y19,357
ITF3,ITL,Y20,525
ITF3,ITL,Y21,535
ITF3,ITL,Y22,749
ITF3,ITL,Y23,879
ITF3,ITL,Y24,1046
ITF3,ITL,Y25,1401
ITF3,TOTAL,Y_UN17,226
ITF3,TOTAL,Y18,234
ITF3,TOTAL,Y19,395
ITF3,TOTAL,Y20,587
ITF3,TOTAL,Y21,625
ITF3,TOTAL,Y22,849
ITF3,TOTAL,Y23,995
ITF3,TOTAL,Y24,1189
ITF3,TOTAL,Y25,1559
ITF4,FRG,Y_UN17,11
ITF4,FRG,Y18,16
ITF4,FRG,Y19,36
ITF4,FRG,Y20,59
ITF4,FRG,Y21,77
ITF4,FRG,Y22,67
ITF4,FRG,Y23,83
ITF4,FRG,Y24,91
ITF4,FRG,Y25,117
ITF4,ITL,Y_UN17,109
ITF4,ITL,Y18,138
ITF4,ITL,Y19,199
ITF4,ITL,Y20,254
ITF4,ITL,Y21,326
ITF4,ITL,Y22,400
ITF4,ITL,Y23,453
ITF4,ITL,Y24,572
ITF4,ITL,Y25,684
ITF4,TOTAL,Y_UN17,120
ITF4,TOTAL,Y18,154
ITF4,TOTAL,Y19,235
ITF4,TOTAL,Y20,313
ITF4,TOTAL,Y21,403
ITF4,TOTAL,Y22,467
ITF4,TOTAL,Y23,536
ITF4,TOTAL,Y24,663
ITF4,TOTAL,Y25,801
ITF5,FRG,Y_UN17,2
ITF5,FRG,Y18,1
ITF5,FRG,Y19,6
ITF5,FRG,Y20,9
ITF5,FRG,Y21,12
ITF5,FRG,Y22,10
ITF5,FRG,Y23,14
ITF5,FRG,Y24,9
ITF5,FRG,Y25,14
ITF5,ITL,Y_UN17,3
ITF5,ITL,Y18,8
ITF5,ITL,Y19,11
ITF5,ITL,Y20,23
ITF5,ITL,Y21,30
ITF5,ITL,Y22,28
ITF5,ITL,Y23,45
ITF5,ITL,Y24,57
ITF5,ITL,Y25,62
ITF5,TOTAL,Y_UN17,5
ITF5,TOTAL,Y18,9
ITF5,TOTAL,Y19,17
ITF5,TOTAL,Y20,32
ITF5,TOTAL,Y21,42
ITF5,TOTAL,Y22,38
ITF5,TOTAL,Y23,59
ITF5,TOTAL,Y24,66
ITF5,TOTAL,Y25,76
ITF6,FRG,Y_UN17,6
ITF6,FRG,Y18,15
ITF6,FRG,Y19,22
ITF6,FRG,Y20,34
ITF6,FRG,Y21,45
ITF6,FRG,Y22,45
ITF6,FRG,Y23,45
ITF6,FRG,Y24,58
ITF6,FRG,Y25,69
ITF6,ITL,Y_UN17,31
ITF6,ITL,Y18,58
ITF6,ITL,Y19,77
ITF6,ITL,Y20,104
ITF6,ITL,Y21,138
ITF6,ITL,Y22,159
ITF6,ITL,Y23,237
ITF6,ITL,Y24,299
ITF6,ITL,Y25,430
ITF6,TOTAL,Y_UN17,37
ITF6,TOTAL,Y18,73
ITF6,TOTAL,Y19,99
ITF6,TOTAL,Y20,138
ITF6,TOTAL,Y21,183
ITF6,TOTAL,Y22,204
ITF6,TOTAL,Y23,282
ITF6,TOTAL,Y24,357
ITF6,TOTAL,Y25,499
ITG1,FRG,Y_UN17,16
ITG1,FRG,Y18,26
ITG1,FRG,Y19,56
ITG1,FRG,Y20,61
ITG1,FRG,Y21,89
ITG1,FRG,Y22,104
ITG1,FRG,Y23,122
ITG1,FRG,Y24,141
ITG1,FRG,Y25,145
ITG1,ITL,Y_UN17,254
ITG1,ITL,Y18,280
ITG1,ITL,Y19,392
ITG1,ITL,Y20,459
ITG1,ITL,Y21,628
ITG1,ITL,Y22,723
ITG1,ITL,Y23,820
ITG1,ITL,Y24,919
ITG1,ITL,Y25,1216
ITG1,TOTAL,Y_UN17,270
ITG1,TOTAL,Y18,306
ITG1,TOTAL,Y19,448
ITG1,TOTAL,Y20,520
ITG1,TOTAL,Y21,717
ITG1,TOTAL,Y22,827
ITG1,TOTAL,Y23,942
ITG1,TOTAL,Y24,1060
ITG1,TOTAL,Y25,1361
ITG2,FRG,Y_UN17,2
ITG2,FRG,Y18,5
ITG2,FRG,Y19,3
ITG2,FRG,Y20,3
ITG2,FRG,Y21,14
ITG2,FRG,Y22,16
ITG2,FRG,Y23,19
ITG2,FRG,Y24,24
ITG2,FRG,Y25,45
ITG2,ITL,Y_UN17,19
ITG2,ITL,Y18,26
ITG2,ITL,Y19,46
ITG2,ITL,Y20,70
ITG2,ITL,Y21,73
ITG2,ITL,Y22,109
ITG2,ITL,Y23,112
ITG2,ITL,Y24,161
ITG2,ITL,Y25,182
ITG2,TOTAL,Y_UN17,21
ITG2,TOTAL,Y18,31
ITG2,TOTAL,Y19,49
ITG2,TOTAL,Y20,73
ITG2,TOTAL,Y21,87
ITG2,TOTAL,Y22,125
ITG2,TOTAL,Y23,131
ITG2,TOTAL,Y24,185
ITG2,TOTAL,Y25,227
