Region code,Region,Age,Sex,Population
ITC1,Piemonte,81,Total,37014
ITC1,Piemonte,81,Males,15761
ITC1,Piemonte,81,Females,21253
ITC1,Piemonte,82,Total,36119
ITC1,Piemonte,82,Males,14917
ITC1,Piemonte,82,Females,21202
ITC1,Piemonte,83,Total,32917
ITC1,Piemonte,83,Males,13174
ITC1,Piemonte,83,Females,19743
ITC1,Piemonte,84,Total,29907
ITC1,Piemonte,84,Males,11494
ITC1,Piemonte,84,Females,18413
ITC1,Piemonte,85,Total,27967
ITC1,Piemonte,85,Males,10411
ITC1,Piemonte,85,Females,17556
ITC1,Piemonte,86,Total,25607
ITC1,Piemonte,86,Males,9198
ITC1,Piemonte,86,Females,16409
ITC1,Piemonte,87,Total,24208
ITC1,Piemonte,87,Males,8503
ITC1,Piemonte,87,Females,15705
ITC1,Piemonte,88,Total,20048
ITC1,Piemonte,88,Males,6698
ITC1,Piemonte,88,Females,13350
ITC1,Piemonte,89,Total,16709
ITC1,Piemonte,89,Males,5231
ITC1,Piemonte,89,Females,11478
ITC1,Piemonte,90,Total,14274
ITC1,Piemonte,90,Males,4217
ITC1,Piemonte,90,Females,10057
ITC1,Piemonte,91,Total,11487
ITC1,Piemonte,91,Males,3152
ITC1,Piemonte,91,Females,8335
ITC1,Piemonte,92,Total,9249
ITC1,Piemonte,92,Males,2407
ITC1,Piemonte,92,Females,6842
ITC1,Piemonte,93,Total,7118
ITC1,Piemonte,93,Males,1781
ITC1,Piemonte,93,Females,5337
ITC1,Piemonte,94,Total,5593
ITC1,Piemonte,94,Males,1357
ITC1,Piemonte,94,Females,4236
ITC1,Piemonte,95,Total,4324
ITC1,Piemonte,95,Males,886
ITC1,Piemonte,95,Females,3438
ITC1,Piemonte,96,Total,3177
ITC1,Piemonte,96,Males,617
ITC1,Piemonte,96,Females,2560
ITC1,Piemonte,97,Total,2090
ITC1,Piemonte,97,Males,406
ITC1,Piemonte,97,Females,1684
ITC1,Piemonte,98,Total,993
ITC1,Piemonte,98,Males,154
ITC1,Piemonte,98,Females,839
ITC1,Piemonte,99,Total,511
ITC1,Piemonte,99,Males,83
ITC1,Piemonte,99,Females,428
ITC1,Piemonte,100 and over,Total,1233
ITC1,Piemonte,100 and over,Males,172
ITC1,Piemonte,100 and over,Females,1061
ITC2,Valle D'Aosta/Vallée D'Aoste,0,Total,899
ITC2,Valle D'Aosta/Vallée D'Aoste,0,Males,478
ITC2,Valle D'Aosta/Vallée D'Aoste,0,Females,421
ITC2,Valle D'Aosta/Vallée D'Aoste,1,Total,963
ITC2,Valle D'Aosta/Vallée D'Aoste,1,Males,508
ITC2,Valle D'Aosta/Vallée D'Aoste,1,Females,455
ITC2,Valle D'Aosta/Vallée D'Aoste,2,Total,982
ITC2,Valle D'Aosta/Vallée D'Aoste,2,Males,506
ITC2,Valle D'Aosta/Vallée D'Aoste,2,Females,476
ITC2,Valle D'Aosta/Vallée D'Aoste,3,Total,1067
ITC2,Valle D'Aosta/Vallée D'Aoste,3,Males,554
ITC2,Valle D'Aosta/Vallée D'Aoste,3,Females,513
ITC2,Valle D'Aosta/Vallée D'Aoste,4,Total,1044
ITC2,Valle D'Aosta/Vallée D'Aoste,4,Males,515
ITC2,Valle D'Aosta/Vallée D'Aoste,4,Females,529
ITC2,Valle D'Aosta/Vallée D'Aoste,5,Total,1136
ITC2,Valle D'Aosta/Vallée D'Aoste,5,Males,583
ITC2,Valle D'Aosta/Vallée D'Aoste,5,Females,553
ITC2,Valle D'Aosta/Vallée D'Aoste,6,Total,1192
ITC2,Valle D'Aosta/Vallée D'Aoste,6,Males,612
ITC2,Valle D'Aosta/Vallée D'Aoste,6,Females,580
ITC2,Valle D'Aosta/Vallée D'Aoste,7,Total,1158
ITC2,Valle D'Aosta/Vallée D'Aoste,7,Males,578
ITC2,Valle D'Aosta/Vallée D'Aoste,7,Females,580
ITC2,Valle D'Aosta/Vallée D'Aoste,8,Total,1243
ITC2,Valle D'Aosta/Vallée D'Aoste,8,Males,643
ITC2,Valle D'Aosta/Vallée D'Aoste,8,Females,600
ITC2,Valle D'Aosta/Vallée D'Aoste,9,Total,1222
ITC2,Valle D'Aosta/Vallée D'Aoste,9,Males,630
ITC2,Valle D'Aosta/Vallée D'Aoste,9,Females,592
ITC2,Valle D'Aosta/Vallée D'Aoste,10,Total,1218
ITC2,Valle D'Aosta/Vallée D'Aoste,10,Males,632
ITC2,Valle D'Aosta/Vallée D'Aoste,10,Females,586
ITC2,Valle D'Aosta/Vallée D'Aoste,11,Total,1230
ITC2,Valle D'Aosta/Vallée D'Aoste,11,Males,649
ITC2,Valle D'Aosta/Vallée D'Aoste,11,Females,581
ITC2,Valle D'Aosta/Vallée D'Aoste,12,Total,1152
ITC2,Valle D'Aosta/Vallée D'Aoste,12,Males,587
ITC2,Valle D'Aosta/Vallée D'Aoste,12,Females,565
ITC2,Valle D'Aosta/Vallée D'Aoste,13,Total,1170
ITC2,Valle D'Aosta/Vallée D'Aoste,13,Males,590
ITC2,Valle D'Aosta/Vallée D'Aoste,13,Females,580
ITC2,Valle D'Aosta/Vallée D'Aoste,14,Total,1189
ITC2,Valle D'Aosta/Vallée D'Aoste,14,Males,599
ITC2,Valle D'Aosta/Vallée D'Aoste,14,Females,590
ITC2,Valle D'Aosta/Vallée D'Aoste,15,Total,1121
ITC2,Valle D'Aosta/Vallée D'Aoste,15,Males,604
ITC2,Valle D'Aosta/Vallée D'Aoste,15,Females,517
ITC2,Valle D'Aosta/Vallée D'Aoste,16,Total,1174
ITC2,Valle D'Aosta/Vallée D'Aoste,16,Males,618
ITC2,Valle D'Aosta/Vallée D'Aoste,16,Females,556
ITC2,Valle D'Aosta/Vallée D'Aoste,17,Total,1216
ITC2,Valle D'Aosta/Vallée D'Aoste,17,Males,635
ITC2,Valle D'Aosta/Vallée D'Aoste,17,Females,581
ITC2,Valle D'Aosta/Vallée D'Aoste,18,Total,1204
ITC2,Valle D'Aosta/Vallée D'Aoste,18,Males,627
ITC2,Valle D'Aosta/Vallée D'Aoste,18,Females,577
ITC2,Valle D'Aosta/Vallée D'Aoste,19,Total,1178
ITC2,Valle D'Aosta/Vallée D'Aoste,19,Males,618
ITC2,Valle D'Aosta/Vallée D'Aoste,19,Females,560
ITC2,Valle D'Aosta/Vallée D'Aoste,20,Total,1119
ITC2,Valle D'Aosta/Vallée D'Aoste,20,Males,576
ITC2,Valle D'Aosta/Vallée D'Aoste,20,Females,543
ITC2,Valle D'Aosta/Vallée D'Aoste,21,Total,1211
ITC2,Valle D'Aosta/Vallée D'Aoste,21,Males,637
ITC2,Valle D'Aosta/Vallée D'Aoste,21,Females,574
ITC2,Valle D'Aosta/Vallée D'Aoste,22,Total,1153
ITC2,Valle D'Aosta/Vallée D'Aoste,22,Males,605
ITC2,Valle D'Aosta/Vallée D'Aoste,22,Females,548
ITC2,Valle D'Aosta/Vallée D'Aoste,23,Total,1126
ITC2,Valle D'Aosta/Vallée D'Aoste,23,Males,571
ITC2,Valle D'Aosta/Vallée D'Aoste,23,Females,555
ITC2,Valle D'Aosta/Vallée D'Aoste,24,Total,1139
ITC2,Valle D'Aosta/Vallée D'Aoste,24,Males,582
ITC2,Valle D'Aosta/Vallée D'Aoste,24,Females,557
ITC2,Valle D'Aosta/Vallée D'Aoste,25,Total,1225
ITC2,Valle D'Aosta/Vallée D'Aoste,25,Males,643
ITC2,Valle D'Aosta/Vallée D'Aoste,25,Females,582
ITC2,Valle D'Aosta/Vallée D'Aoste,26,Total,1161
ITC2,Valle D'Aosta/Vallée D'Aoste,26,Males,598
ITC2,Valle D'Aosta/Vallée D'Aoste,26,Females,563
ITC2,Valle D'Aosta/Vallée D'Aoste,27,Total,1246
ITC2,Valle D'Aosta/Vallée D'Aoste,27,Males,617
ITC2,Valle D'Aosta/Vallée D'Aoste,27,Females,629
ITC2,Valle D'Aosta/Vallée D'Aoste,28,Total,1222
ITC2,Valle D'Aosta/Vallée D'Aoste,28,Males,637
ITC2,Valle D'Aosta/Vallée D'Aoste,28,Females,585
ITC2,Valle D'Aosta/Vallée D'Aoste,29,Total,1294
ITC2,Valle D'Aosta/Vallée D'Aoste,29,Males,666
ITC2,Valle D'Aosta/Vallée D'Aoste,29,Females,628
ITC2,Valle D'Aosta/Vallée D'Aoste,30,Total,1244
ITC2,Valle D'Aosta/Vallée D'Aoste,30,Males,630
ITC2,Valle D'Aosta/Vallée D'Aoste,30,Females,614
ITC2,Valle D'Aosta/Vallée D'Aoste,31,Total,1245
ITC2,Valle D'Aosta/Vallée D'Aoste,31,Males,601
ITC2,Valle D'Aosta/Vallée D'Aoste,31,Females,644
ITC2,Valle D'Aosta/Vallée D'Aoste,32,Total,1280
ITC2,Valle D'Aosta/Vallée D'Aoste,32,Males,652
ITC2,Valle D'Aosta/Vallée D'Aoste,32,Females,628
ITC2,Valle D'Aosta/Vallée D'Aoste,33,Total,1315
ITC2,Valle D'Aosta/Vallée D'Aoste,33,Males,660
ITC2,Valle D'Aosta/Vallée D'Aoste,33,Females,655
ITC2,Valle D'Aosta/Vallée D'Aoste,34,Total,1399
ITC2,Valle D'Aosta/Vallée D'Aoste,34,Males,709
