ITTER107,Region,Age,Males,Females,Population
ITG1,Sicilia,18,27305,25070,52375
ITG1,Sicilia,19,28659,25340,53999
ITG1,Sicilia,20,28678,25985,54663
ITG1,Sicilia,21,28075,25643,53718
ITG1,Sicilia,22,28022,25752,53774
ITG1,Sicilia,23,27871,26180,54051
ITG1,Sicilia,24,27989,26453,54442
ITG1,Sicilia,25,28555,26938,55493
ITG1,Sicilia,Total,303407,281245,584652
ITG2,Sardegna,15,6891,6375,13266
ITG2,Sardegna,16,7117,6637,13754
ITG2,Sardegna,17,6949,6588,13537
ITG2,Sardegna,18,7132,6751,13883
ITG2,Sardegna,19,7597,6844,14441
ITG2,Sardegna,20,7690,6689,14379
ITG2,Sardegna,21,7575,6538,14113
ITG2,Sardegna,22,7587,6639,14226
ITG2,Sardegna,23,7779,6720,14499
ITG2,Sardegna,24,7940,6925,14865
ITG2,Sardegna,25,7930,7105,15035
ITG2,Sardegna,Total,82187,73811,155998
