RESIDENCE_TERR,CITIZENSHIP_MOTHER,MOTHER_AGE,OBS_VALUE
ITD2,TOTAL,Y23,83
ITD2,TOTAL,Y24,105
ITD2,TOTAL,Y25,128
ITD3,FRG,Y_UN17,23
ITD3,FRG,Y18,36
ITD3,FRG,Y19,94
ITD3,FRG,Y20,149
ITD3,FRG,Y21,203
ITD3,FRG,Y22,306
ITD3,FRG,Y23,340
ITD3,FRG,Y24,453
ITD3,FRG,Y25,526
ITD3,ITL,Y_UN17,49
ITD3,ITL,Y18,50
ITD3,ITL,Y19,91
ITD3,ITL,Y20,149
ITD3,ITL,Y21,140
ITD3,ITL,Y22,227
ITD3,ITL,Y23,273
ITD3,ITL,Y24,389
ITD3,ITL,Y25,573
ITD3,TOTAL,Y_UN17,72
ITD3,TOTAL,Y18,86
ITD3,TOTAL,Y19,185
ITD3,TOTAL,Y20,298
ITD3,TOTAL,Y21,343
ITD3,TOTAL,Y22,533
ITD3,TOTAL,Y23,613
ITD3,TOTAL,Y24,842
ITD3,TOTAL,Y25,1099
ITD4,FRG,Y_UN17,2
ITD4,FRG,Y18,6
ITD4,FRG,Y19,12
ITD4,FRG,Y20,28
ITD4,FRG,Y21,35
ITD4,FRG,Y22,81
ITD4,FRG,Y23,78
ITD4,FRG,Y24,89
ITD4,FRG,Y25,107
ITD4,ITL,Y_UN17,9
ITD4,ITL,Y18,10
ITD4,ITL,Y19,16
ITD4,ITL,Y20,31
ITD4,ITL,Y21,50
ITD4,ITL,Y22,56
ITD4,ITL,Y23,61
ITD4,ITL,Y24,107
ITD4,ITL,Y25,139
ITD4,TOTAL,Y_UN17,11
ITD4,TOTAL,Y18,16
ITD4,TOTAL,Y19,28
ITD4,TOTAL,Y20,59
ITD4,TOTAL,Y21,85
ITD4,TOTAL,Y22,137
ITD4,TOTAL,Y23,139
ITD4,TOTAL,Y24,196
ITD4,TOTAL,Y25,246
ITD5,FRG,Y_UN17,21
ITD5,FRG,Y18,44
ITD5,FRG,Y19,99
ITD5,FRG,Y20,187
ITD5,FRG,Y21,250
ITD5,FRG,Y22,328
ITD5,FRG,Y23,398
ITD5,FRG,Y24,477
ITD5,FRG,Y25,563
ITD5,ITL,Y_UN17,24
ITD5,ITL,Y18,34
ITD5,ITL,Y19,75
ITD5,ITL,Y20,103
ITD5,ITL,Y21,147
ITD5,ITL,Y22,199
ITD5,ITL,Y23,274
ITD5,ITL,Y24,348
ITD5,ITL,Y25,470
ITD5,TOTAL,Y_UN17,45
ITD5,TOTAL,Y18,78
ITD5,TOTAL,Y19,174
ITD5,TOTAL,Y20,290
ITD5,TOTAL,Y21,397
ITD5,TOTAL,Y22,527
ITD5,TOTAL,Y23,672
ITD5,TOTAL,Y24,825
ITD5,TOTAL,Y25,1033
ITDA,FRG,Y_UN17,5
ITDA,FRG,Y18,3
ITDA,FRG,Y19,13
ITDA,FRG,Y20,31
ITDA,FRG,Y21,63
ITDA,FRG,Y22,62
ITDA,FRG,Y23,92
ITDA,FRG,Y24,108
ITDA,FRG,Y25,109
ITDA,ITL,Y_UN17,10
ITDA,ITL,Y18,19
ITDA,ITL,Y19,39
ITDA,ITL,Y20,40
ITDA,ITL,Y21,53
ITDA,ITL,Y22,81
ITDA,ITL,Y23,103
ITDA,ITL,Y24,166
ITDA,ITL,Y25,193
ITDA,TOTAL,Y_UN17,15
ITDA,TOTAL,Y18,22
ITDA,TOTAL,Y19,52
ITDA,TOTAL,Y20,71
ITDA,TOTAL,Y21,116
ITDA,TOTAL,Y22,143
ITDA,TOTAL,Y23,195
ITDA,TOTAL,Y24,274
ITDA,TOTAL,Y25,302
ITE1,FRG,Y_UN17,20
ITE1,FRG,Y18,20
ITE1,FRG,Y19,85
ITE1,FRG,Y20,124
ITE1,FRG,Y21,171
ITE1,FRG,Y22,235
ITE1,FRG,Y23,239
ITE1,FRG,Y24,346
ITE1,FRG,Y25,348
ITE1,ITL,Y_UN17,33
ITE1,ITL,Y18,22
ITE1,ITL,Y19,57
ITE1,ITL,Y20,86
ITE1,ITL,Y21,121
ITE1,ITL,Y22,166
ITE1,ITL,Y23,227
ITE1,ITL,Y24,244
ITE1,ITL,Y25,399
ITE1,TOTAL,Y_UN17,53
ITE1,TOTAL,Y18,42
ITE1,TOTAL,Y19,142
ITE1,TOTAL,Y20,210
ITE1,TOTAL,Y21,292
ITE1,TOTAL,Y22,401
ITE1,TOTAL,Y23,466
ITE1,TOTAL,Y24,590
ITE1,TOTAL,Y25,747
ITE2,FRG,Y_UN17,3
ITE2,FRG,Y18,4
ITE2,FRG,Y19,21
ITE2,FRG,Y20,23
ITE2,FRG,Y21,38
ITE2,FRG,Y22,49
ITE2,FRG,Y23,52
ITE2,FRG,Y24,73
ITE2,FRG,Y25,65
ITE2,ITL,Y_UN17,9
ITE2,ITL,Y18,10
ITE2,ITL,Y19,13
ITE2,ITL,Y20,23
ITE2,ITL,Y21,39
ITE2,ITL,Y22,38
ITE2,ITL,Y23,46
ITE2,ITL,Y24,87
ITE2,ITL,Y25,102
ITE2,TOTAL,Y_UN17,12
ITE2,TOTAL,Y18,14
ITE2,TOTAL,Y19,34
ITE2,TOTAL,Y20,46
ITE2,TOTAL,Y21,77
ITE2,TOTAL,Y22,87
ITE2,TOTAL,Y23,98
ITE2,TOTAL,Y24,160
ITE2,TOTAL,Y25,167
ITE3,FRG,Y_UN17,6
ITE3,FRG,Y18,10
ITE3,FRG,Y19,32
ITE3,FRG,Y20,52
ITE3,FRG,Y21,57
ITE3,FRG,Y22,62
ITE3,FRG,Y23,100
ITE3,FRG,Y24,136
ITE3,FRG,Y25,124
ITE3,ITL,Y_UN17,11
ITE3,ITL,Y18,17
ITE3,ITL,Y19,32
ITE3,ITL,Y20,42
ITE3,ITL,Y21,52
ITE3,ITL,Y22,85
ITE3,ITL,Y23,87
ITE3,ITL,Y24,142
ITE3,ITL,Y25,160
ITE3,TOTAL,Y_UN17,17
ITE3,TOTAL,Y18,27
ITE3,TOTAL,Y19,64
ITE3,TOTAL,Y20,94
ITE3,TOTAL,Y21,109
ITE3,TOTAL,Y22,147
ITE3,TOTAL,Y23,187
ITE3,TOTAL,Y24,278
ITE3,TOTAL,Y25,284
ITE4,FRG,Y_UN17,33
ITE4,FRG,Y18,33
ITE4,FRG,Y19,85
ITE4,FRG,Y20,119
ITE4,FRG,Y21,179
ITE4,FRG,Y22,239
ITE4,FRG,Y23,307
ITE4,FRG,Y24,396
ITE4,FRG,Y25,446
ITE4,ITL,Y_UN17,52
ITE4,ITL,Y18,80
ITE4,ITL,Y19,131
ITE4,ITL,Y20,192
ITE4,ITL,Y21,260
ITE4,ITL,Y22,320
ITE4,ITL,Y23,412
ITE4,ITL,Y24,547
ITE4,ITL,Y25,824
ITE4,TOTAL,Y_UN17,85
ITE4,TOTAL,Y18,113
ITE4,TOTAL,Y19,216
ITE4,TOTAL,Y20,311
ITE4,TOTAL,Y21,439
ITE4,TOTAL,Y22,559
ITE4,TOTAL,Y23,719
ITE4,TOTAL,Y24,943
ITE4,TOTAL,Y25,1270
ITF1,FRG,Y_UN17,2
ITF1,FRG,Y18,7
ITF1,FRG,Y19,23
ITF1,FRG,Y20,28
ITF1,FRG,Y21,46
ITF1,FRG,Y22,47
ITF1,FRG,Y23,61
ITF1,FRG,Y24,75
ITF1,FRG,Y25,97
ITF1,ITL,Y_UN17,12
ITF1,ITL,Y18,27
ITF1,ITL,Y19,31
ITF1,ITL,Y20,51
ITF1,ITL,Y21,72
ITF1,ITL,Y22,93
ITF1,ITL,Y23,113
ITF1,ITL,Y24,161
ITF1,ITL,Y25,177
ITF1,TOTAL,Y_UN17,14
ITF1,TOTAL,Y18,34
ITF1,TOTAL,Y19,54
ITF1,TOTAL,Y20,79
ITF1,TOTAL,Y21,118
ITF1,TOTAL,Y22,140
ITF1,TOTAL,Y23,174
ITF1,TOTAL,Y24,236
ITF1,TOTAL,Y25,274
ITF2,FRG,Y_UN17,3
ITF2,FRG,Y18,5
ITF2,FRG,Y19,4
ITF2,FRG,Y20,4
ITF2,FRG,Y21,12
ITF2,FRG,Y22,9
ITF2,FRG,Y23,7
ITF2,FRG,Y24,13
ITF2,FRG,Y25,7
ITF2,ITL,Y_UN17,2
ITF2,ITL,Y18,4
ITF2,ITL,Y19,8
ITF2,ITL,Y20,10
ITF2,ITL,Y21,19
ITF2,ITL,Y22,18
ITF2,ITL,Y23,37
ITF2,ITL,Y24,29
ITF2,ITL,Y25,47
ITF2,TOTAL,Y_UN17,5
ITF2,TOTAL,Y18,9
ITF2,TOTAL,Y19,12
ITF2,TOTAL,Y20,14
ITF2,TOTAL,Y21,31
ITF2,TOTAL,Y22,27
ITF2,TOTAL,Y23,44
ITF2,TOTAL,Y24,42
ITF2,TOTAL,Y25,54
ITF3,FRG,Y_UN17,24
ITF3,FRG,Y18,27
ITF3,FRG,Y19,53
ITF3,FRG,Y20,70
ITF3,FRG,Y21,76
ITF3,FRG,Y22,117
ITF3,FRG,Y23,131
ITF3,FRG,Y24,127
ITF3,FRG,Y25,185
ITF3,ITL,Y_UN17,223
ITF3,ITL,Y18,288
ITF3,ITL,Y19,412
ITF3,ITL,Y20,556
ITF3,ITL,Y21,719
ITF3,ITL,Y22,861
ITF3,ITL,Y23,1090
ITF3,ITL,Y24,1334
ITF3,ITL,Y25,1656
ITF3,TOTAL,Y_UN17,247
ITF3,TOTAL,Y18,315
ITF3,TOTAL,Y19,465
ITF3,TOTAL,Y20,626
ITF3,TOTAL,Y21,795
ITF3,TOTAL,Y22,978
ITF3,TOTAL,Y23,1221
ITF3,TOTAL,Y24,1461
ITF3,TOTAL,Y25,1841
ITF4,FRG,Y_UN17,18
ITF4,FRG,Y18,15
ITF4,FRG,Y19,32
ITF4,FRG,Y20,75
ITF4,FRG,Y21,83
ITF4,FRG,Y22,82
ITF4,FRG,Y23,97
ITF4,FRG,Y24,100
ITF4,FRG,Y25,132
ITF4,ITL,Y_UN17,124
ITF4,ITL,Y18,131
ITF4,ITL,Y19,207
ITF4,ITL,Y20,300
ITF4,ITL,Y21,362
ITF4,ITL,Y22,419
ITF4,ITL,Y23,517
ITF4,ITL,Y24,692
ITF4,ITL,Y25,832
ITF4,TOTAL,Y_UN17,142
ITF4,TOTAL,Y18,146
ITF4,TOTAL,Y19,239
ITF4,TOTAL,Y20,375
ITF4,TOTAL,Y21,445
ITF4,TOTAL,Y22,501
ITF4,TOTAL,Y23,614
ITF4,TOTAL,Y24,792
ITF4,TOTAL,Y25,964
ITF5,FRG,Y_UN17,1
ITF5,FRG,Y18,6
ITF5,FRG,Y19,3
ITF5,FRG,Y20,11
ITF5,FRG,Y21,15
ITF5,FRG,Y22,16
ITF5,FRG,Y23,15
ITF5,FRG,Y24,18
ITF5,FRG,Y25,27
ITF5,ITL,Y_UN17,8
ITF5,ITL,Y18,7
ITF5,ITL,Y19,12
ITF5,ITL,Y20,25
ITF5,ITL,Y21,30
ITF5,ITL,Y22,28
ITF5,ITL,Y23,47
ITF5,ITL,Y24,57
ITF5,ITL,Y25,83
ITF5,TOTAL,Y_UN17,9
ITF5,TOTAL,Y18,13
ITF5,TOTAL,Y19,15
ITF5,TOTAL,Y20,36
ITF5,TOTAL,Y21,45
ITF5,TOTAL,Y22,44
ITF5,TOTAL,Y23,62
ITF5,TOTAL,Y24,75
ITF5,TOTAL,Y25,110
ITF6,FRG,Y_UN17,18
ITF6,FRG,Y18,16
ITF6,FRG,Y19,19
ITF6,FRG,Y20,48
ITF6,FRG,Y21,51
ITF6,FRG,Y22,54
ITF6,FRG,Y23,78
ITF6,FRG,Y24,86
ITF6,FRG,Y25,73
ITF6,ITL,Y_UN17,55
ITF6,ITL,Y18,38
ITF6,ITL,Y19,86
ITF6,ITL,Y20,102
ITF6,ITL,Y21,191
ITF6,ITL,Y22,208
ITF6,ITL,Y23,280
ITF6,ITL,Y24,391
ITF6,ITL,Y25,469
ITF6,TOTAL,Y_UN17,73
ITF6,TOTAL,Y18,54
ITF6,TOTAL,Y19,105
ITF6,TOTAL,Y20,150
ITF6,TOTAL,Y21,242
ITF6,TOTAL,Y22,262
ITF6,TOTAL,Y23,358
ITF6,TOTAL,Y24,477
ITF6,TOTAL,Y25,542
ITG1,FRG,Y_UN17,15
ITG1,FRG,Y18,34
ITG1,FRG,Y19,73
ITG1,FRG,Y20,73
ITG1,FRG,Y21,95
ITG1,FRG,Y22,128
ITG1,FRG,Y23,139
ITG1,FRG,Y24,162
ITG1,FRG,Y25,174
ITG1,ITL,Y_UN17,313
ITG1,ITL,Y18,311
ITG1,ITL,Y19,436
ITG1,ITL,Y20,550
ITG1,ITL,Y21,626
ITG1,ITL,Y22,806
ITG1,ITL,Y23,982
ITG1,ITL,Y24,1210
ITG1,ITL,Y25,1461
ITG1,TOTAL,Y_UN17,328
ITG1,TOTAL,Y18,345
ITG1,TOTAL,Y19,509
ITG1,TOTAL,Y20,623
ITG1,TOTAL,Y21,721
ITG1,TOTAL,Y22,934
ITG1,TOTAL,Y23,1121
ITG1,TOTAL,Y24,1372
ITG1,TOTAL,Y25,1635
ITG2,FRG,Y_UN17,4
ITG2,FRG,Y18,7
ITG2,FRG,Y19,5
ITG2,FRG,Y20,12
ITG2,FRG,Y21,19
ITG2,FRG,Y22,29
ITG2,FRG,Y23,26
ITG2,FRG,Y24,33
ITG2,FRG,Y25,33
ITG2,ITL,Y_UN17,25
ITG2,ITL,Y18,30
ITG2,ITL,Y19,40
ITG2,ITL,Y20,58
ITG2,ITL,Y21,100
ITG2,ITL,Y22,123
ITG2,ITL,Y23,164
ITG2,ITL,Y24,190
ITG2,ITL,Y25,228
ITG2,TOTAL,Y_UN17,29
ITG2,TOTAL,Y18,37
ITG2,TOTAL,Y19,45
ITG2,TOTAL,Y20,70
ITG2,TOTAL,Y21,119
ITG2,TOTAL,Y22,152
ITG2,TOTAL,Y23,190
ITG2,TOTAL,Y24,223
ITG2,TOTAL,Y25,261
