ITTER107,Region,Age,Males_value,Females_value,Population_value
ITC2,Valle d'Aosta / Vallée d'Aoste,69,724,777,1501
ITC2,Valle d'Aosta / Vallée d'Aoste,70,748,834,1582
ITC2,Valle d'Aosta / Vallée d'Aoste,71,759,836,1595
ITC2,Valle d'Aosta / Vallée d'Aoste,72,746,735,1481
ITC2,Valle d'Aosta / Vallée d'Aoste,73,675,733,1408
ITC2,Valle d'Aosta / Vallée d'Aoste,74,489,593,1082
ITC2,Valle d'Aosta / Vallée d'Aoste,75,569,579,1148
ITC2,Valle d'Aosta / Vallée d'Aoste,76,580,622,1202
ITC2,Valle d'Aosta / Vallée d'Aoste,77,554,632,1186
ITC2,Valle d'Aosta / Vallée d'Aoste,78,524,659,1183
ITC2,Valle d'Aosta / Vallée d'Aoste,79,540,682,1222
ITC2,Valle d'Aosta / Vallée d'Aoste,80,477,637,1114
ITC2,Valle d'Aosta / Vallée d'Aoste,81,478,640,1118
ITC2,Valle d'Aosta / Vallée d'Aoste,82,398,577,975
ITC2,Valle d'Aosta / Vallée d'Aoste,83,338,513,851
ITC2,Valle d'Aosta / Vallée d'Aoste,84,296,468,764
ITC2,Valle d'Aosta / Vallée d'Aoste,85,242,440,682
ITC2,Valle d'Aosta / Vallée d'Aoste,86,236,439,675
ITC2,Valle d'Aosta / Vallée d'Aoste,87,192,380,572
ITC2,Valle d'Aosta / Vallée d'Aoste,88,175,357,532
ITC2,Valle d'Aosta / Vallée d'Aoste,89,162,355,517
ITC2,Valle d'Aosta / Vallée d'Aoste,90,136,276,412
ITC2,Valle d'Aosta / Vallée d'Aoste,91,96,246,342
ITC2,Valle d'Aosta / Vallée d'Aoste,92,63,205,268
ITC2,Valle d'Aosta / Vallée d'Aoste,93,50,164,214
ITC2,Valle d'Aosta / Vallée d'Aoste,94,49,117,166
ITC2,Valle d'Aosta / Vallée d'Aoste,95,20,82,102
ITC2,Valle d'Aosta / Vallée d'Aoste,96,16,73,89
ITC2,Valle d'Aosta / Vallée d'Aoste,97,12,51,63
ITC2,Valle d'Aosta / Vallée d'Aoste,98,5,44,49
ITC2,Valle d'Aosta / Vallée d'Aoste,99,4,25,29
ITC2,Valle d'Aosta / Vallée d'Aoste,100 and over,6,24,30
ITC2,Valle d'Aosta / Vallée d'Aoste,Total,61121,63913,125034
ITC3,Liguria,0,4421,4211,8632
ITC3,Liguria,1,4628,4343,8971
ITC3,Liguria,2,5002,4672,9674
ITC3,Liguria,3,5163,4763,9926
ITC3,Liguria,4,5224,4978,10202
ITC3,Liguria,5,5640,5218,10858
ITC3,Liguria,6,5691,5265,10956
ITC3,Liguria,7,5936,5654,11590
ITC3,Liguria,8,5847,5562,11409
ITC3,Liguria,9,6065,5865,11930
ITC3,Liguria,10,6259,6213,12472
ITC3,Liguria,11,6469,6269,12738
ITC3,Liguria,12,6546,5918,12464
ITC3,Liguria,13,6453,6186,12639
ITC3,Liguria,14,6525,6046,12571
ITC3,Liguria,15,6476,6172,12648
ITC3,Liguria,16,6461,5968,12429
ITC3,Liguria,17,6616,6162,12778
ITC3,Liguria,18,6656,6286,12942
ITC3,Liguria,19,6914,6325,13239
ITC3,Liguria,20,7000,6138,13138
ITC3,Liguria,21,7135,6253,13388
ITC3,Liguria,22,7003,6332,13335
ITC3,Liguria,23,7315,6331,13646
ITC3,Liguria,24,6956,6311,13267
ITC3,Liguria,25,6907,6443,13350
ITC3,Liguria,26,7031,6548,13579
ITC3,Liguria,27,7482,6845,14327
ITC3,Liguria,28,7183,6910,14093
ITC3,Liguria,29,7240,6960,14200
ITC3,Liguria,30,7202,6996,14198
ITC3,Liguria,31,7383,7157,14540
ITC3,Liguria,32,7340,6858,14198
ITC3,Liguria,33,7210,6890,14100
ITC3,Liguria,34,7499,7242,14741
ITC3,Liguria,35,7424,7196,14620
ITC3,Liguria,36,7653,7358,15011
ITC3,Liguria,37,7658,7336,14994
ITC3,Liguria,38,7866,7801,15667
ITC3,Liguria,39,7778,7755,15533
ITC3,Liguria,40,7977,8293,16270
ITC3,Liguria,41,8546,9040,17586
ITC3,Liguria,42,9131,9476,18607
ITC3,Liguria,43,9834,9954,19788
ITC3,Liguria,44,10483,10694,21177
ITC3,Liguria,45,11044,11532,22576
ITC3,Liguria,46,11419,11571,22990
ITC3,Liguria,47,12031,12191,24222
ITC3,Liguria,48,12152,12338,24490
ITC3,Liguria,49,12059,12605,24664
ITC3,Liguria,50,12409,12837,25246
ITC3,Liguria,51,12589,12896,25485
ITC3,Liguria,52,12273,13078,25351
ITC3,Liguria,53,12907,13433,26340
ITC3,Liguria,54,13136,13697,26833
ITC3,Liguria,55,13346,13701,27047
ITC3,Liguria,56,12352,13074,25426
ITC3,Liguria,57,11828,12631,24459
ITC3,Liguria,58,11465,12203,23668
ITC3,Liguria,59,11066,11764,22830
ITC3,Liguria,60,10916,11703,22619
ITC3,Liguria,61,10379,11235,21614
ITC3,Liguria,62,10357,10998,21355
ITC3,Liguria,63,10000,10763,20763
ITC3,Liguria,64,9564,10519,20083
ITC3,Liguria,65,9564,10415,19979
ITC3,Liguria,66,9146,10156,19302
ITC3,Liguria,67,8858,9806,18664
ITC3,Liguria,68,8680,9937,18617
ITC3,Liguria,69,9362,10417,19779
ITC3,Liguria,70,9203,10760,19963
ITC3,Liguria,71,9770,11254,21024
ITC3,Liguria,72,9871,11634,21505
ITC3,Liguria,73,9712,11765,21477
ITC3,Liguria,74,6997,8461,15458
ITC3,Liguria,75,7779,9526,17305
ITC3,Liguria,76,7473,9235,16708
ITC3,Liguria,77,7358,9609,16967
ITC3,Liguria,78,7468,9814,17282
ITC3,Liguria,79,7868,10477,18345
ITC3,Liguria,80,7476,10203,17679
ITC3,Liguria,81,7024,9879,16903
ITC3,Liguria,82,6199,9045,15244
ITC3,Liguria,83,5391,8201,13592
ITC3,Liguria,84,5022,7859,12881
ITC3,Liguria,85,4437,7193,11630
ITC3,Liguria,86,3997,6757,10754
ITC3,Liguria,87,3482,6453,9935
ITC3,Liguria,88,3015,5885,8900
ITC3,Liguria,89,2679,5613,8292
ITC3,Liguria,90,2105,4696,6801
ITC3,Liguria,91,1686,3890,5576
ITC3,Liguria,92,1313,3258,4571
ITC3,Liguria,93,909,2677,3586
ITC3,Liguria,94,692,2116,2808
ITC3,Liguria,95,471,1629,2100
ITC3,Liguria,96,325,1239,1564
ITC3,Liguria,97,221,953,1174
ITC3,Liguria,98,145,654,799
ITC3,Liguria,99,82,465,547
ITC3,Liguria,100 and over,71,562,633
ITC3,Liguria,Total,730371,794455,1524826
ITC4,Lombardia,0,37093,35467,72560
ITC4,Lombardia,1,39098,36924,76022
ITC4,Lombardia,2,41028,38592,79620
ITC4,Lombardia,3,42056,40244,82300
ITC4,Lombardia,4,43830,41237,85067
ITC4,Lombardia,5,44709,42533,87242
ITC4,Lombardia,6,45838,42983,88821
ITC4,Lombardia,7,47353,44660,92013
ITC4,Lombardia,8,48448,45543,93991
ITC4,Lombardia,9,50128,46654,96782
ITC4,Lombardia,10,50771,47893,98664
ITC4,Lombardia,11,50809,47928,98737
ITC4,Lombardia,12,50304,47264,97568
ITC4,Lombardia,13,50620,47347,97967
ITC4,Lombardia,14,49488,46241,95729
ITC4,Lombardia,15,49196,46883,96079
ITC4,Lombardia,16,48738,45352,94090
ITC4,Lombardia,17,48077,44769,92846
ITC4,Lombardia,18,48965,45473,94438
ITC4,Lombardia,19,50441,46118,96559
ITC4,Lombardia,20,50285,45505,95790
ITC4,Lombardia,21,51296,45312,96608
ITC4,Lombardia,22,50608,45548,96156
ITC4,Lombardia,23,50047,45646,95693
ITC4,Lombardia,24,49360,45629,94989
ITC4,Lombardia,25,49672,46619,96291
ITC4,Lombardia,26,50455,47959,98414
ITC4,Lombardia,27,52397,49840,102237
ITC4,Lombardia,28,52719,50695,103414
ITC4,Lombardia,29,54235,52332,106567
ITC4,Lombardia,30,54352,53202,107554
ITC4,Lombardia,31,56489,54323,110812
ITC4,Lombardia,32,55216,53877,109093
ITC4,Lombardia,33,55740,54378,110118
ITC4,Lombardia,34,57422,56430,113852
ITC4,Lombardia,35,59067,57477,116544
ITC4,Lombardia,36,60315,59273,119588
ITC4,Lombardia,37,62732,61380,124112
ITC4,Lombardia,38,63251,61744,124995
ITC4,Lombardia,39,64460,63071,127531
ITC4,Lombardia,40,66164,64610,130774
ITC4,Lombardia,41,70041,68064,138105
ITC4,Lombardia,42,73023,70983,144006
ITC4,Lombardia,43,75806,73739,149545
ITC4,Lombardia,44,80613,78690,159303
ITC4,Lombardia,45,83345,80832,164177
ITC4,Lombardia,46,82761,81260,164021
ITC4,Lombardia,47,83870,81567,165437
ITC4,Lombardia,48,84253,81331,165584
ITC4,Lombardia,49,83100,81021,164121
ITC4,Lombardia,50,84832,83430,168262
ITC4,Lombardia,51,84552,82788,167340
ITC4,Lombardia,52,83725,82957,166682
ITC4,Lombardia,53,85495,84157,169652
ITC4,Lombardia,54,84436,83800,168236
ITC4,Lombardia,55,83770,83187,166957
ITC4,Lombardia,56,77408,78489,155897
ITC4,Lombardia,57,73124,74733,147857
ITC4,Lombardia,58,70576,72608,143184
ITC4,Lombardia,59,67792,70250,138042
ITC4,Lombardia,60,65281,68668,133949
ITC4,Lombardia,61,62178,65238,127416
ITC4,Lombardia,62,60628,64086,124714
ITC4,Lombardia,63,59412,62993,122405
ITC4,Lombardia,64,56730,61918,118648
ITC4,Lombardia,65,55641,60253,115894
ITC4,Lombardia,66,53650,58088,111738
ITC4,Lombardia,67,52901,58131,111032
ITC4,Lombardia,68,51811,57818,109629
ITC4,Lombardia,69,53885,59808,113693
ITC4,Lombardia,70,53947,60389,114336
ITC4,Lombardia,71,55243,62509,117752
ITC4,Lombardia,72,53049,60453,113502
ITC4,Lombardia,73,53809,62153,115962
ITC4,Lombardia,74,39091,45685,84776
ITC4,Lombardia,75,40770,49059,89829
ITC4,Lombardia,76,39411,48388,87799
